Product Name,Current Price,Old Price,Discount,Rating,Image URL,Mall Store
True Wireles Earbuds MIC Bluetooth Headsets,KSh 355,KSh 666,47%,3.6 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Oraimo Traveller 4 20000mAh 2.1A Triple Ports Fast Charging Power Bank- Black 1YR WRTY,"KSh 2,249","KSh 3,500",36%,4.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Oppo A38,6.56"",4GB RAM+128GB ROM,50MP,5000mAh (Dual Sim) - Glowing Gold (2YRs WRTY)","KSh 19,794","KSh 22,999",14%,3.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Qwen TWS Wireless Earbuds Headset With Power Bank Black,KSh 829,"KSh 1,500",45%,4.1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
M90 Bluetooth 5.3 Headphones Wireless Touch Gaming,KSh 737,"KSh 1,053",30%,3.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Air Pro3  Wireless Headsets TouCh HIFI Earphone.,KSh 590,KSh 999,41%,4.1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
F9 Bluetooth Earphone 2000mAh Battery Headset XL,KSh 478,KSh 898,47%,3.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo XT88 Bluetooth 5.3 Earbuds Earphones Headset,"KSh 1,499","KSh 1,999",25%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Timack Upgrade MINI Pro6 TWS 4th Generation Wireless Bluetooth Earphones Waterproof Earbuds,KSh 440,KSh 862,49%,3.8 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Wireless Headset Bluetooth Earphone,KSh 440,KSh 778,43%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Infinix Hot 40i, 6.56"", 128GB + 4GB, 5000 mAh, 4G, Dual SIM - Starfall Green (1YR WRTY)","KSh 12,318","KSh 18,999",35%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
RichRipple 20000mAh PD40W Portable Power Bank Premium Black,"KSh 1,599","KSh 1,837",13%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Vivo V11i 6GB+128GB  6.3"" Dual Cameras Dual SIM 4G LTE Smartphone -Starry Black","KSh 8,999","KSh 17,000",47%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo HT38 Bluetooth Earphones 5.0 TWS Bluetooth Earbuds,KSh 899,"KSh 1,468",39%,3.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Qwen Bluetooth Earbuds Wireless Headsets Earphone Gaming Earphone Sports Headphones,KSh 600,"KSh 1,000",40%,3.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple Phone Tripod 3in1 Wireless Remote Control Selfie Stick With LED Light,KSh 489,KSh 699,30%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"OPPO A91 8+128 GB 6.4"" 4Camera Dual Sim 4025mAh SmartPhone - Black","KSh 13,900","KSh 25,800",46%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Tecno Spark 20, Android 13, 6.6"", 256GB + 8GB RAM, 50MP, 5000mAh, Gravity Black","KSh 18,999","KSh 21,499",12%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
TWS Bone Conduction Bluetooth Earphone Wireless Sports Headset,KSh 599,"KSh 1,078",44%,3.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
In-Ear Wireless Touch Bluetooth Earphones Sport Headsets With Noise Reduction,KSh 640,"KSh 1,102",42%,3.9 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Lenovo LP40 Pro Bluetooth Earbuds Headset With Mic,"KSh 1,099","KSh 1,999",45%,4.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple Purple Metal Desktop Phones & Tablets Holder Foldable Stand,KSh 299,KSh 586,49%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple 10000mAh Digital Display Power Bank Premium Black,KSh 899,"KSh 1,541",42%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Freeyond F9,4GB+64GB,6.52"" 4G Smartphone,13.0MP 5000mAh, Dual SIM Android Phones,Grey","KSh 11,303","KSh 17,588",36%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
"Tecno Spark 10 5G, 6.6"", 256GB+8GB RAM (8GB RAM Extended), 5000mAh, Meta Blue","KSh 18,899","KSh 24,999",24%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Qwen Memory Card 64GB High Speed C10 Red,KSh 599,"KSh 1,000",40%,4.1 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
